hhmem_number;male_adults_over_65;female_adults_over_65;male_adults_15_65;female_adults_15_65;male_children_5_14;female_children_5_14;male_children_0_4;female_children_0_4;dep_ratio;head_age;head_age_cat;head_gender;head_education;incsource_biggest1;incsource_biggest2;hh_income_perc_cocoa;hh_income_perc_othercrops;hh_income_perc_livestock;hh_income_perc_fish;hh_income_perc_bushproducts;hh_income_perc_farmlabour;hh_income_perc_nonaglabour;hh_income_perc_smallbusiness;hh_income_perc_comp;hh_income_perc_govt;hh_income_perc_landsalelease;hh_income_perc_remittances;hh_income_perc_other;n_crops_produced;n_crops_sold;crops_important1;crops_important2;all_land_known_yn;all_land_cultivated_ha;all_land_owned_ha;all_land_leased_ha;all_land_scrop_abunu_ha;all_land_scrop_abusa_ha;all_land_fallow_ha;all_land_numlandparcels;all_land_leasedout_yn;all_land_leasedout_landunit_ha;cocoa_land_known_yn;cocoa_land_used_ha;cocoa_land_used_morethan5_ha;cocoa_land_owned_ha;cocoa_land_leased_ha;cocoa_land_scrop_abunu_ha;cocoa_land_scrop_abusa_ha;cocoa_land_numlandparcels;cocoa_intercrop_yn;cocoa_prod_known_yn;cocoa_prod_total_kgs;cocoa_prod_total_kgsha;cocoa_valueproduction_usd;cocoa_valueproduction_usd_ha;cocoa_gfert_yn;cocoa_lfert_yn;cocoa_herb_yn;cocoa_pest_yn;cocoa_fung_yn;cocoa_ferment_yn;cocoa_marketing_income_yn;cocoa_marketing_income_usd;cocoa_marketing_income_usdha;cocoa_certification_yn;cocoa_certification_clean_yn;cocoa_prodgroup_hhmem;cocoa_credit_yn;loan_lastyear_yn;loan_amount_usd;ls_dairy_cattle;ls_cows_bulls;ls_horses_donkeys_mules;ls_goats;ls_pigs;ls_rabbits;ls_grasscutter;ls_sheep;ls_chickens;ls_other_poultry;ls_other;foodsec1;foodsec2;foodsec3;foodsec4;foodsec5;foodsec6;foodsec7;foodsec8;foodsec9;foodsec10;foodsec11;foodsec12;instanceid;hh_income_1;hh_income_2;hh_income_3;hh_income_4;hh_income_5;hh_income_6;hh_income_7;hh_income_8;hh_income_9;hh_income_10;hh_income_11;hh_income_12;hh_income_13;n_hh_incomes;dhs;dhs_combined;dhs_quintile;PPI_SCORE;PPI_100_Nat;PPI_125dollar_day;PPI_200dollar_day;PPI_250dollar_day;PPI_190dollar_day;PPI_310dollar_day;non_cocoa_land;share_cocoa_land
9;0;0;2;1;3;2;0;1;2;60;7;1;2;2;1;0,4;0,6;0;0;0;0;0;0;0;0;0;0;0;6;5;38;10;1;2,832804;2,832804;0;0;0;0;2;0;;1;2,0234313;1,6187451;2,0234313;0;0;0;1;1;1;448;276,7576;776,951;479,97116;0;0;0;1;0;1;1;776,951;479,9712;2;0;0;0;0;;1;1;1;1;1;1;1;1;4;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:17257d70-be16-443c-9e47-3334c7ed3eca;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0,52461505;-0,23104945;2;37;29;3,7;16,2;31,4;7,9;35,4;0,80937266;0,7142857
3;0;1;1;1;0;0;0;0;0,5;49;6;1;2;1;2;0,7;0,3;0;0;0;0;0;0;0;0;0;0;0;7;7;10;24;1;3,6421764;3,6421764;0;0;0;0,80937254;3;0;;1;2,0234313;2,0234313;2,0234313;0;0;0;1;0;1;320;158,1472;554,965;274,26926;0;1;1;1;1;1;1;554,965;274,26926;1;1;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:c56cf8ff-e7f0-4dc3-aa2b-1af85e9a9374;1;1;0;0;0;0;0;0;0;0;0;0;0;2;1,2853124;0,26188245;3;71;0,8;0;0,1;0,6;0,1;0,8;1,6187451;0,5555555
6;0;0;1;2;1;2;0;0;1;65;7;1;2;1;2;0,5;0,5;0;0;0;0;0;0;0;0;0;0;0;9;4;10;35;1;;;;;;0;1;0;;1;4,2492056;1,6187451;2,2257745;0;2,0234313;0;3;1;1;576;355,83118;998,93695;617,1058;0;0;1;1;1;1;0;;;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:624d22c9-6a8f-4142-9f9a-cd781d39f5ab;1;1;0;0;0;0;0;0;0;0;0;0;0;2;;;;48;11,7;0,6;5,3;12,8;2,4;16,1;;
7;0;0;1;1;1;1;3;0;2,5;42;5;1;3;1;2;0,6;0,2;0,2;0;0;0;0;0;0;0;0;0;0;7;6;10;17;1;6,070294;2,0234313;0;0;4,0468626;0;3;0;;1;5,665608;5,2609215;1,6187451;0;0;4,0468626;2;1;1;640;121,65169;1109,9299;210,97633;0;0;0;1;1;1;1;1109,93;210,97636;1;1;0;0;0;;1;1;1;1;1;1;1;1;3;1;1;3;2;3;1;2;3;2;3;2;1;3;3;uuid:d5f30aa6-1c54-4c35-8d06-4aac6126d69f;1;1;1;0;0;0;0;0;0;0;0;0;0;3;-0,007304396;-0,57573324;1;33;40,2;7,2;27,1;41,3;16,5;45,4;0,40468597;0,9333334
6;1;0;1;1;1;2;0;0;2;60;7;1;2;1;1;0,7;0,3;0;0;0;0;0;0;0;0;0;0;0;3;3;10;35;1;2,832804;2,832804;0;0;0;1,2140588;2;0;;1;2,0234313;1,2140588;2,0234313;0;0;0;1;1;1;384,00003;316,29443;665,95807;548,5386;0;0;0;1;1;1;0;;;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;uuid:e4eef621-7cd3-45f3-817c-0bc1b47c6931;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0,37578356;-0,32749224;2;31;40,2;7,2;27,1;41,3;16,5;45,4;0,80937266;0,7142857
9;1;0;4;1;0;0;2;1;0,8;66;8;1;3;1;2;0,7;0,25;0,05;0;0;0;0;0;0;0;0;0;0;3;3;10;47;1;5,665608;5,665608;0;0;0;0;2;0;;1;5,665608;4,0468626;5,665608;0;0;0;2;1;1;384;94,88832;665,958;164,56155;0;0;1;0;0;1;1;705,132;174,24165;1;1;0;0;0;;1;1;1;2;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:f42e600c-aa64-446b-a20b-4fbfc5b44324;1;1;1;0;0;0;0;0;0;0;0;0;0;3;0,2987003;-0,3774422;2;34;40,2;7,2;27,1;41,3;16,5;45,4;0;1
5;0;0;1;1;0;2;1;0;1,5;42;5;1;2;2;8;0;0,7;0;0;0;0;0;0,3;0;0;0;0;0;3;3;8;24;1;1,6187451;3,6421764;0;0;0;2,0234313;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1;1;1;1;1;1;1;1;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;uuid:400288e5-ee51-47ee-a7a4-703c8f89b092;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0,82695687;-0,03513195;3;68;1,1;0;0,2;0,7;0,1;1,3;;
5;0;0;0;2;2;1;0;0;1,5;40;5;2;1;1;8;0,6;0,1;0;0;0;0;0;0,3;0;0;0;0;0;7;4;10;35;1;4,856235;2,4281175;0;2,4281175;0;1,6187451;4;0;;1;4,856235;2,4281175;2,4281175;0;2,4281175;0;3;1;0;;;;;1;1;0;1;0;1;;;;1;1;0;0;1;;1;1;1;4;1;1;1;3;3;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:06a35a2a-f25f-4c83-8d48-3c9ead4cf6d9;1;1;0;0;0;0;0;1;0;0;0;0;0;3;0,5113364;-0,23965402;2;39;29;3,7;16,2;31,4;7,9;35,4;0;1
3;0;1;1;1;0;0;0;0;0,5;62;7;2;1;1;13;0,6;0;0;0;0;0;0;0,2;0;0;0;0,2;0;5;2;10;30;1;3,8445196;3,8445196;0;0;0;0,80937254;4;0;;1;2,0234313;1,2140588;2,0234313;0;0;0;1;1;1;384,00003;316,29443;665,95807;548,5386;1;0;0;1;1;1;0;;;2;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:277d1f71-1aab-4fcd-8793-c463f4b2e5d9;1;1;0;0;0;0;0;1;0;0;0;1;0;4;0,14060992;-0,47988477;2;36;29;3,7;16,2;31,4;7,9;35,4;1,8210883;0,52631575
6;0;0;1;2;0;3;0;0;1;50;6;2;2;2;1;0,29999998;0,39999995;0;0;0;0;0;0,09999999;0;0,19999997;0;0;0;6;5;10;35;1;3,6421764;1,2140588;2,4281175;0;0;0;2;0;;1;1,2140588;0,80937254;1,2140588;0;0;0;1;1;1;288;355,83118;499,46848;617,1058;0;1;1;1;1;1;0;;;2;0;0;0;0;;1;1;1;1;1;1;1;1;3;1;1;3;3;3;3;3;3;3;3;3;3;3;3;uuid:c9f8eb02-9f27-4ff5-97d1-8d51bde1d8c6;1;1;0;0;0;0;0;1;0;1;0;0;0;4;1,0470964;0,10751845;3;49;11,7;0,6;5,3;12,8;2,4;16,1;2,4281178;0,3333333
